country,gdp_per_capita
Luxembourg,134754
Singapore,116486
Ireland,106456
Qatar,93521
Bermuda,85192
Norway,79201
Switzerland,77324
Macao,73802
United States,69288
Brunei,66620
Hong Kong,65973
Denmark,64651
Netherlands,63767
Sweden,59324
Belgium,58931
Austria,58427
Germany,57928
Iceland,57646
Australia,55807
Finland,55007
Canada,52085
France,50729
United Kingdom,49675
Saudi Arabia,49551
Malta,47714
South Korea,46918
New Zealand,46420
Italy,45936
Bahrain,45411
Czechia,44261
Israel,43722
Slovenia,43625
Japan,42940
Lithuania,42665
Estonia,42192
Spain,40775
Poland,37503
Hungary,36753
Portugal,35888
Romania,35414
Latvia,34469
Bahamas,34108
Croatia,33801
Russia,33361
Slovakia,33010
Panama,31680
Cyprus,31509
Greece,31295
Turkey,30472
Oman,30422
