country,tourists_in_millions,receipts_in_billions,receipts_per_tourist,percentage_of_gdp
France,117.1,35.96,307,1.2
Mexico,51.1,11.45,224,0.9
United States,45.0,84.21,1870,0.4
Italy,38.4,20.46,533,1.0
Hungary,31.6,4.22,133,2.3
Croatia,21.6,5.63,261,8.3
Turkey,16.0,13.77,862,1.7
Austria,15.1,15.36,1018,3.2
Germany,12.4,58.37,4689,1.4
Virgin Islands,8.6,0.69,80,16.3
United Arab Emirates,8.1,24.62,3045,6.9
Greece,7.4,6.19,836,2.9
Netherlands,7.3,10.93,1504,1.1
Russia,6.4,4.96,780,0.3
Macao,5.9,9.44,1601,31.6
Romania,5.0,1.61,321,0.6
Bulgaria,5.0,1.79,360,2.2
Malaysia,4.3,3.39,781,0.9
Portugal,4.2,10.52,2500,4.2
Japan,4.1,11.4,2769,0.2
Indonesia,4.1,3.53,872,0.3
South Africa,3.9,2.72,699,0.6
Puerto Rico,3.9,2.92,752,2.8
Vietnam,3.8,3.23,842,0.9
Belarus,3.6,0.54,151,0.8
Hong Kong,3.6,32.7,9161,8.9
Ukraine,3.4,0.69,203,0.3
Morocco,2.8,4.51,1611,3.4
Albania,2.7,1.24,468,6.8
Belgium,2.6,7.45,2882,1.2
South Korea,2.5,11.78,4675,0.7
Australia,1.8,26.23,14351,1.7
Philippines,1.5,2.77,1867,0.7
Norway,1.4,2.2,1572,0.5
Cambodia,1.3,1.12,857,4.2
Qatar,0.6,14.32,24601,8.0
Luxembourg,0.5,4.45,8484,5.1
Ethiopia,0.5,2.28,4405,2.1
Serbia,0.4,1.42,3188,2.3
Bermuda,0.1,0.09,1829,1.3
Moldova,0.0,0.35,12207,2.6
