country,unemployment_rate
Marshall Islands,36.0
South Africa,33.6
Kiribati,30.6
Kosovo,30.5
American Samoa,29.8
Djibouti,28.4
Eswatini,25.8
Greece,14.8
Spain,14.7
Brazil,14.4
Turkey,13.4
Italy,9.8
Nigeria,9.8
Egypt,9.3
Ukraine,8.9
Sweden,8.7
France,8.1
Canada,7.5
Saudi Arabia,7.4
Bermuda,7.0
Ireland,6.6
Ecuador,6.4
India,6.0
United States,5.5
Sri Lanka,5.4
Hong Kong,5.3
Switzerland,5.3
Bangladesh,5.2
Luxembourg,5.2
Romania,5.2
Australia,5.1
Norway,5.0
Russia,5.0
China,4.8
Denmark,4.8
Malaysia,4.6
United Kingdom,4.5
Indonesia,4.4
Mexico,4.4
Pakistan,4.4
Netherlands,4.0
Taiwan,3.7
Singapore,3.6
South Korea,3.5
Germany,3.5
Poland,3.4
Macao,3.0
Japan,2.8
Philippines,2.4
Vietnam,2.2
Principality of Monaco,2.0
Bahrain,1.9
Chad,1.9
Burundi,1.8
Benin,1.6
Thailand,1.4
Laos,1.3
Guernsey,1.2
Isle of Man,1.1
Gibraltar,1.0
Niger,0.8
Cambodia,0.6
Qatar,0.3
Cocos (Keeling) Islands,0.1
